package,ecosystem,installed_version,cve_id,osv_id,summary,severity,cvss_vector,published,modified,aliases,reference_url
jinja2,PyPI,2.10,CVE-2024-22195,GHSA-h5c8-rqwp-cp95,Jinja vulnerable to HTML attribute injection when passing user input as keys to xmlattr filter,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,2024-01-11T15:20:48Z,2026-02-04T04:32:39.638919Z,CVE-2024-22195,https://github.com/pallets/jinja/security/advisories/GHSA-h5c8-rqwp-cp95
jinja2,PyPI,2.10,CVE-2024-34064,GHSA-h75v-3vvj-5mfj,Jinja vulnerable to HTML attribute injection when passing user input as keys to xmlattr filter,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,2024-05-06T14:20:59Z,2026-02-04T03:24:55.822549Z,CVE-2024-34064,https://github.com/pallets/jinja/security/advisories/GHSA-h75v-3vvj-5mfj
jinja2,PyPI,2.10,CVE-2024-56326,GHSA-q2x7-8rv6-6q7h,Jinja has a sandbox breakout through indirect reference to format method,MODERATE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2024-12-23T17:56:08Z,2026-02-04T03:01:31.510689Z,CVE-2024-56326,https://github.com/pallets/jinja/security/advisories/GHSA-q2x7-8rv6-6q7h
jinja2,PyPI,2.10,CVE-2019-10906,PYSEC-2019-217,,,,2019-04-07T00:29:00Z,2023-11-08T04:00:58.644982Z,CVE-2019-10906; GHSA-462w-v97r-4m45,https://palletsprojects.com/blog/jinja-2-10-1-released
jinja2,PyPI,2.10,CVE-2020-28493,PYSEC-2021-66,,,,2021-02-01T20:15:00Z,2023-11-08T04:03:28.543308Z,CVE-2020-28493; GHSA-g3rq-g295-4j3m; SNYK-PYTHON-JINJA2-1012994,https://github.com/pallets/jinja/blob/ab81fd9c277900c85da0c322a2ff9d68a235b2e6/src/jinja2/utils.py%23L20
pyyaml,PyPI,5.1,CVE-2019-20477,GHSA-3pqx-4fqf-j49f,Deserialization of Untrusted Data in PyYAML,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2021-04-20T16:40:42Z,2024-10-25T21:23:11.506576Z,CVE-2019-20477; PYSEC-2020-176,https://nvd.nist.gov/vuln/detail/CVE-2019-20477
pyyaml,PyPI,5.1,CVE-2020-1747,GHSA-6757-jp84-gxfx,Improper Input Validation in PyYAML,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2021-04-20T16:14:24Z,2026-05-04T08:57:14.897560893Z,CVE-2020-1747; PYSEC-2020-96,https://nvd.nist.gov/vuln/detail/CVE-2020-1747
pyyaml,PyPI,5.1,CVE-2020-14343,GHSA-8q59-q68h-6hv4,Improper Input Validation in PyYAML,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2021-03-25T21:26:26Z,2026-02-04T03:33:10.792778Z,CVE-2020-14343; PYSEC-2021-142,https://nvd.nist.gov/vuln/detail/CVE-2020-14343
pyyaml,PyPI,5.1,CVE-2019-20477,PYSEC-2020-176,,,,2020-02-19T04:15:00Z,2023-11-08T04:01:30.627114Z,CVE-2019-20477; GHSA-3pqx-4fqf-j49f,https://www.exploit-db.com/download/47655
pyyaml,PyPI,5.1,CVE-2020-1747,PYSEC-2020-96,,,,2020-03-24T15:15:00Z,2026-05-04T08:57:14.897560893Z,CVE-2020-1747; GHSA-6757-jp84-gxfx,https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2020-1747
pyyaml,PyPI,5.1,CVE-2020-14343,PYSEC-2021-142,,,,2021-02-09T21:15:00Z,2023-11-08T04:02:26.414885Z,CVE-2020-14343; GHSA-8q59-q68h-6hv4,https://bugzilla.redhat.com/show_bug.cgi?id=1860466
pillow,PyPI,6.2.0,CVE-2023-50447,GHSA-3f63-hfp8-52jq,Arbitrary Code Execution in Pillow,CRITICAL,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,2024-01-19T21:30:35Z,2026-02-04T02:45:35.544912Z,BIT-pillow-2023-50447; CVE-2023-50447,https://nvd.nist.gov/vuln/detail/CVE-2023-50447
